objectid,comuna,barrio,codigo_barrio,manzana,estrato,fecha_sincronizacion,st_area(shape),st_perimeter(shape)
23761,16,01,1601,1601007,4,1778724905000,4749.985132279819,295.5938252123258
23762,16,01,1601,1601008,3,1778724905000,3325.9774387712455,237.79785175104854
23763,16,01,1601,1601008,4,1778724905000,92.79616733086337,39.200475825885825
23764,16,01,1601,1601009,2,1778724905000,38.642953606578786,35.505957871402074
23765,16,01,1601,1601009,3,1778724905000,3264.467490931067,316.580730398742
23766,16,01,1601,1601009,4,1778724905000,172.42888043014418,58.41856247100904
23767,16,01,1601,1601010,3,1778724905000,3105.414434712542,243.19052826200146
23768,16,01,1601,1601010,4,1778724905000,74.09342276703596,34.60883902858915
23769,16,03,1603,1603017,4,1778724905000,13374.997469708436,527.2706613468475
23770,16,03,1603,1603018,3,1778724905000,276.2781402700575,66.59185998545391
23771,16,03,1603,1603018,4,1778724905000,5336.772734019848,487.60230990953295
23772,16,03,1603,1603019,3,1778724905000,3707.948980583041,338.99827061563207
23773,16,03,1603,1603019,4,1778724905000,187.4217261836532,57.839627287607286
23774,16,03,1603,1603019,4,1778724905000,1068.66883243763,147.21570041755928
23775,16,03,1603,1603020,4,1778724905000,43135.42202512417,880.8426291043072
23776,16,03,1603,1603021,3,1778724905000,174.95159851376633,60.14599804319424
23777,16,03,1603,1603021,4,1778724905000,15801.718608609577,879.0674708829623
23778,16,05,1605,1605087,3,1778724905000,1308.0059294169057,150.63525439538233
23779,16,05,1605,1605088,3,1778724905000,166.27091691990398,62.43158277324205
23780,16,05,1605,1605088,3,1778724905000,2226.8413696247508,240.61239271045739
23781,16,05,1605,1605088,4,1778724905000,4895.377109196155,394.67497704743045
23782,16,05,1605,1605089,3,1778724905000,3225.172845210345,275.9032379401103
23783,16,05,1605,1605090,3,1778724905000,972.9951981336228,159.49785451749378
23784,16,05,1605,1605091,3,1778724905000,15936.985268734676,1371.830055310944
23785,16,05,1605,1605092,3,1778724905000,5689.683417921143,861.2180850701351
23786,16,05,1605,1605093,3,1778724905000,2680.6307726045115,318.9745183126598
23787,15,11,1511,1511006,2,1778724905000,19103.681240757716,2074.238197846129
23788,15,11,1511,1511006,3,1778724905000,211.0848229144939,60.53841305243981
23789,15,11,1511,1511006,3,1778724905000,462.2936920996536,98.49744205089983
23790,15,11,1511,1511006,3,1778724905000,123.45983109020055,49.27384446304261
23791,15,11,1511,1511006,3,1778724905000,610.5477470707515,123.77299920691672
23792,15,11,1511,1511006,3,1778724905000,1087.3876587831635,137.16999591306765
23793,15,11,1511,1511006,3,1778724905000,543.042619599289,99.25443932800425
23794,15,11,1511,1511006,3,1778724905000,1320.4303428324574,179.76075519942182
23795,15,11,1511,1511007,2,1778724905000,165.02179276309795,52.832237349384854
23796,15,11,1511,1511007,2,1778724905000,4753.702162198099,344.2046362409444
23797,15,11,1511,1511008,2,1778724905000,1426.6196332975014,207.0063364911653
23798,15,11,1511,1511009,2,1778724905000,1627.235621173116,216.87275790357776
23799,15,11,1511,1511010,2,1778724905000,215.2182692611952,72.2735886599139
23800,15,11,1511,1511011,2,1778724905000,3705.943956236243,325.85728216981124
23801,15,11,1511,1511012,1,1778724905000,52.97166962725214,29.737824686358934
23802,15,11,1511,1511012,2,1778724905000,1599.4022291804527,317.8746095135527
